"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Pull Up",,"",0,"normal",,16,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Pull Up",,"",1,"normal",,13,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Back Extension (Weighted Hyperextension)",,"",0,"normal",15,13,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Back Extension (Weighted Hyperextension)",,"",1,"normal",15,13,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Bicep Curl (Dumbbell)",,"",0,"warmup",15,20,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Bicep Curl (Dumbbell)",,"",1,"normal",25,12,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Bicep Curl (Dumbbell)",,"",2,"dropset",20,10,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Hammer Curl (Dumbbell)",,"",0,"normal",30,10,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Plank",,"",0,"normal",,,,200,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Lat Pulldown (Machine)",,"",0,"normal",52.5,15,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Lat Pulldown (Machine)",,"",1,"normal",55,12,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Iso-Lateral Row (Machine)",,"",0,"normal",60,15,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Iso-Lateral Row (Machine)",,"",1,"normal",63,16,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Iso-Lateral Row (Machine)",,"",2,"normal",63,14,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Push Up",,"",0,"normal",,10,,,
"back bicep","Apr 18, 2026, 6:30 PM","Apr 18, 2026, 7:36 PM","","Side Plank",,"",0,"normal",,,,70,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Shoulder Press (Dumbbell)",,"",0,"normal",20,20,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Shoulder Press (Dumbbell)",,"",1,"normal",25,15,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Shoulder Press (Dumbbell)",,"",2,"normal",30,11,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Face Pull",,"",0,"normal",17.5,15,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Face Pull",,"",1,"normal",17.5,15,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Lateral Raise (Dumbbell)",,"",0,"normal",5,30,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Lateral Raise (Dumbbell)",,"",1,"normal",10,24,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Lateral Raise (Dumbbell)",,"",2,"dropset",5,9,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Lateral Raise (Dumbbell)",,"",3,"normal",10,20,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Lateral Raise (Dumbbell)",,"",4,"dropset",5,10,,,
"arms/shoulders","Apr 16, 2026, 6:17 PM","Apr 16, 2026, 7:28 PM","","Shrug (Dumbbell)",,"",0,"normal",30,14,,,
